屬性,Created by,Created time,Related to kickoff (作品集),可行性,專案啟動,狀態,發想者,類型
"太陽能 x 數據分析 ",彥佑 陳,2025年12月6日 下午2:27,,,,發想中,Noah,"價格預測, 國際議題"
圖片辨識商標,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,meng,"商業發展, 文本辨識"
World Happiness Report,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,Yuhe Xiong,國際議題
影視作品聲量與旅遊選擇,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,Lucien,"心理預測, 行為預測, 電影票房"
人力銀行風口職缺即時預測,彥佑 陳,2025年12月6日 下午2:27,無標題 (https://app.notion.com/p/1303441e68a5400babb29be87f755c72?pvs=21),High,無標題 (https://app.notion.com/p/7242f74c491d4dd1bb7be7af2cc45599?pvs=21),執行中,Sunny,客群分析
塑料兄弟情檢測器,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,KevinH,"心理預測, 行為預測"
小說&漫畫,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,KevinH,"文本辨識, 生物識別"
台灣股市飆股名單與漲跌天數預測,彥佑 陳,2025年12月6日 下午2:27,,,,執行中,Sunny,"價格預測, 商業發展"
影視票房預測,彥佑 陳,2025年12月6日 下午2:27,,High,,發想中,Sunny,"價格預測, 市場行銷, 電影票房"
Instagram KOL業配 AI推薦,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,Sunny,市場行銷
透過網路行為進行渣男預測,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,Sunny,心理預測
Suicide Ideation Detection Using NLP Analysis,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,Yuhe Xiong,"心理預測, 文本辨識, 行為預測"
香菇分類,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,Yuhe Xiong,生物識別
判定網紅課程是否準備割韭菜！,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,Sunny,客群分析
田間智慧管理系統,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,Noah,"商業發展, 天氣預測, 技術分析"
透過發文內容辨識男女身份,彥佑 陳,2025年12月6日 下午2:27,,High,,執行中,Sunny,客群分析
皇帝的荒淫程度預測王朝壽命,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,KevinH,國際議題
透過輸入每日飲食與運動量預測體態發展,彥佑 陳,2025年12月6日 下午2:27,,,,,KevinH,生物識別
Covid-19確診預測,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,Yuhe Xiong,行為預測
文本分析預測心理學MBTI人格和犯罪預防,彥佑 陳,2025年12月6日 下午2:27,,Mid,,執行中,Sunny,心理預測
天氣與交通運輸選擇預測,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,Lucien,"大眾運輸, 自然災害"
筆記型電腦輿情分析進行口碑預測,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,Sunny,"客群分析, 市場行銷"
天氣預測地震,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,Yuhe Xiong,自然災害
天氣因子預測交通事故,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,Noah,"大眾運輸, 天氣預測, 市場行銷"
台灣電力使用量預測,彥佑 陳,2025年12月6日 下午2:27,無標題 (https://app.notion.com/p/bb36c7764c9345a199ca29fd9807bb92?pvs=21),,無標題 (https://app.notion.com/p/9171588ac904466caf9af8f061e1cb28?pvs=21),執行中,Noah,價格預測
大台北餐飲業倒閉預測,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,Sunny,行為預測
交通易達性 + !@#$%,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,Lucien,大眾運輸
精準農業之普洱茶價格預測,彥佑 陳,2025年12月6日 下午2:27,,High,,發想中,Sunny,價格預測
天氣與空氣品質預測,彥佑 陳,2025年12月6日 下午2:27,,,,執行中,Lucien,自然災害
心電圖之死亡率預測,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,Sunny,行為預測
,彥佑 陳,2025年12月6日 下午2:27,,,,,,
透過網路留言預測流感高峰期,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,Sunny,行為預測
氣候變遷 地表溫度分析,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,Yuhe Xiong,"天氣預測, 自然災害"
蘇富比畫作拍賣價格預測,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,Sunny,價格預測
生魚片還原魚種辨識,彥佑 陳,2025年12月6日 下午2:27,,,,發想中,Sunny,生物識別
