Reference,種類,Multi-select,URL,Created by,Created time,推薦度,摘要
,,,,彥佑 陳,2025年12月6日 下午2:28,,
有軌列車營運模式現狀評估研究,,,file:///C:/Users/xdxd2/Downloads/106-080-5455%E4%BA%A4%E9%80%9A%E5%A4%A7%E6%95%B8%E6%93%9A%E5%88%86%E6%9E%90%E8%88%87%E6%87%89%E7%94%A8%E6%A9%9F%E5%88%B6%E5%85%88%E6%9C%9F%E8%A6%8F%E5%8A%83.pdf,彥佑 陳,2025年12月6日 下午2:28,,
歡迎 - 國網中心資料集平台,,,https://scidm.nchc.org.tw/,彥佑 陳,2025年12月6日 下午2:28,,
1696448a-6c23-4df4-b469-7b3cf2a37aa8.pdf,,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://cissearch.kcc.gov.tw/Upload/Attachment/Proposal/126691/1696448a-6c23-4df4-b469-7b3cf2a37aa8.pdf,彥佑 陳,2025年12月6日 下午2:28,,
公車API資料使用注意事項.md,,,https://gist.github.com/ptxmotc/c13056d7b895ff4fb0e01da01970ba12,彥佑 陳,2025年12月6日 下午2:28,,
年度就業人數－按縣市及企業規模別 | 政府資料開放平臺,,,https://data.gov.tw/dataset/9723,彥佑 陳,2025年12月6日 下午2:28,,
Swagger UI,資源素材,,https://traffic.transportdata.tw/MOTC/#/,彥佑 陳,2025年12月6日 下午2:28,,
氣象資料開放平臺,,,https://opendata.cwb.gov.tw/index,彥佑 陳,2025年12月6日 下午2:28,,
交通部大數據之應用分析 (內政部研討會),,,https://segis.moi.gov.tw/STAT/VirtualDir/Message/4710/Attach/3-1-%E4%BA%A4%E9%80%9A%E9%83%A8%E5%A4%A7%E6%95%B8%E6%93%9A%E4%B9%8B%E6%87%89%E7%94%A8%E5%88%86%E6%9E%90(%E4%BA%A4%E9%80%9A%E9%83%A8%E9%81%8B%E8%BC%B8%E7%A0%94%E7%A9%B6%E6%89%80).pdf,彥佑 陳,2025年12月6日 下午2:28,,
各鄉鎮市區人口密度 | 政府資料開放平臺,,,https://data.gov.tw/dataset/8410,彥佑 陳,2025年12月6日 下午2:28,,
公車API資料使用注意事項.md,,,https://gist.github.com/ptxmotc/c13056d7b895ff4fb0e01da01970ba12,彥佑 陳,2025年12月6日 下午2:28,,
核桃運算股份有限公司,,,https://bigobject.io/about.php,彥佑 陳,2025年12月6日 下午2:28,,
示範成果 | TDX 運輸資料流通服務,,,https://tdx.transportdata.tw/dev/demoApp,彥佑 陳,2025年12月6日 下午2:28,,
Download.ashx,,,https://www-ws.gov.taipei/Download.ashx?u=LzAwMS9VcGxvYWQvNDU4L3JlbGZpbGUvNTk1MTQvODYzODgxNi9lYWQ1MWRmMC03YjYzLTQzNjYtODNkYy04OTQ0NjA3NzE0OGYucGRm&n=MTEx5bm056ysMeacn%2BiplemRkeWgseWRii5wZGY%3D&icon=..pdf,彥佑 陳,2025年12月6日 下午2:28,,
