Reference,種類,Multi-select,URL,Created by,Created time,推薦度,摘要
,會議記錄,,,彥佑 陳,2025年12月6日 下午2:28,⭐⭐⭐⭐⭐,
,同類參考,,,彥佑 陳,2025年12月6日 下午2:28,,
https://www.taipower.com.tw/tc/page.aspx?mid=206,資源素材,資料集,https://www.taipower.com.tw/tc/page.aspx?mid=206,彥佑 陳,2025年12月6日 下午2:28,,
https://www.taiwanstat.com/realtime/power/,資源素材,資料集,https://www.taiwanstat.com/realtime/power/,彥佑 陳,2025年12月6日 下午2:28,,
https://data.gov.tw/dataset/6064,資源素材,資料集,https://data.gov.tw/dataset/6064,彥佑 陳,2025年12月6日 下午2:28,,
停電檢討報告,資源素材,資料集,https://www.moea.gov.tw/Mns/cnc/news/wHandNews_File.ashx?file_id=95610,彥佑 陳,2025年12月6日 下午2:28,,
台電開放資料,資源素材,資料集,https://www.taipower.com.tw/tc/page.aspx?mid=96,彥佑 陳,2025年12月6日 下午2:28,⭐⭐⭐⭐⭐,有CSV XML TXT檔案可以下載
再生能源發電量統計,資源素材,資料集,https://www.re.org.tw/information/statistics.aspx,彥佑 陳,2025年12月6日 下午2:28,,
縣市用電資訊,資源素材,資料集,https://www.taipower.com.tw/tc/page.aspx?mid=5554,彥佑 陳,2025年12月6日 下午2:28,⭐⭐⭐⭐,
能源資訊庫 - 案例資料庫,資源素材,資料集,https://local.twenergy.org.tw/cases,彥佑 陳,2025年12月6日 下午2:28,⭐⭐,
能源資訊庫 - 數據圖資,資源素材,資料集,https://local.twenergy.org.tw/data,彥佑 陳,2025年12月6日 下午2:28,⭐⭐,
【日本電業分析：聯齊科技創辦人顏哲淵】電力數據應用遍及多產業，千種電價讓家庭也靠數據精算來省錢,新聞資料,資料集,https://reurl.cc/Ayqy0j,彥佑 陳,2025年12月6日 下午2:28,⭐,
台電彰化雲端資料中心 助精準掌握綠能發電預測,新聞資料,資料集,https://www.digitimes.com.tw/iot/article.asp?id=0000624209_ZSV3X5ROLMXYP0LRXVK5S,彥佑 陳,2025年12月6日 下午2:28,,
http://www.ee.ncu.edu.tw/~linfj/PDF/2019%E6%99%BA%E6%85%A7%E9%9B%BB%E7%B6%B2%E8%B3%87%E6%96%99%E6%87%89%E7%94%A8%E8%B6%A8%E5%8B%A2%E8%88%87%E6%A1%88%E4%BE%8B%E7%A0%94%E7%A9%B6.pdf,同類參考,資料集,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjAwcSF-4f7AhVBFogKHXg0BI0QFnoECB0QAQ&url=http%3A%2F%2Fwww.ee.ncu.edu.tw%2F~linfj%2FPDF%2F2019%25E6%2599%25BA%25E6%2585%25A7%25E9%259B%25BB%25E7%25B6%25B2%25E8%25B3%2587%25E6%2596%2599%25E6%2587%2589%25E7%2594%25A8%25E8%25B6%25A8%25E5%258B%25A2%25E8%2588%2587%25E6%25A1%2588%25E4%25BE%258B%25E7%25A0%2594%25E7%25A9%25B6.pdf&usg=AOvVaw0ILsgBjWOxSKgLLdLfN3tB,彥佑 陳,2025年12月6日 下午2:28,⭐⭐⭐⭐,
台灣電力公司,資源素材,資料集,https://www.taipower.com.tw/tc/page.aspx?mid=96,彥佑 陳,2025年12月6日 下午2:28,⭐⭐⭐⭐⭐,csv
政府資料開放平台 台電歷年各機組發電統計,資源素材,資料集,https://data.gov.tw/dataset/37331,彥佑 陳,2025年12月6日 下午2:28,,
AMI智慧電表布建資訊網,,,https://ami-meter.taipower.com.tw/views/home.php,彥佑 陳,2025年12月6日 下午2:28,,
