Reference,Created by,Created time,Multi-select,URL,推薦度,摘要,種類
https://data.gov.tw/dataset/6064,彥佑 陳,2025年12月6日 下午2:28,資料集,https://data.gov.tw/dataset/6064,,,資源素材
https://www.taipower.com.tw/tc/page.aspx?mid=206,彥佑 陳,2025年12月6日 下午2:28,資料集,https://www.taipower.com.tw/tc/page.aspx?mid=206,,,資源素材
能源資訊庫 - 數據圖資,彥佑 陳,2025年12月6日 下午2:28,資料集,https://local.twenergy.org.tw/data,⭐⭐,,資源素材
,彥佑 陳,2025年12月6日 下午2:28,,,⭐⭐⭐⭐⭐,,會議記錄
,彥佑 陳,2025年12月6日 下午2:28,,,,,同類參考
AMI智慧電表布建資訊網,彥佑 陳,2025年12月6日 下午2:28,,https://ami-meter.taipower.com.tw/views/home.php,,,
【日本電業分析：聯齊科技創辦人顏哲淵】電力數據應用遍及多產業，千種電價讓家庭也靠數據精算來省錢,彥佑 陳,2025年12月6日 下午2:28,資料集,https://reurl.cc/Ayqy0j,⭐,,新聞資料
停電檢討報告,彥佑 陳,2025年12月6日 下午2:28,資料集,https://www.moea.gov.tw/Mns/cnc/news/wHandNews_File.ashx?file_id=95610,,,資源素材
https://www.taiwanstat.com/realtime/power/,彥佑 陳,2025年12月6日 下午2:28,資料集,https://www.taiwanstat.com/realtime/power/,,,資源素材
再生能源發電量統計,彥佑 陳,2025年12月6日 下午2:28,資料集,https://www.re.org.tw/information/statistics.aspx,,,資源素材
台電開放資料,彥佑 陳,2025年12月6日 下午2:28,資料集,https://www.taipower.com.tw/tc/page.aspx?mid=96,⭐⭐⭐⭐⭐,有CSV XML TXT檔案可以下載,資源素材
台灣電力公司,彥佑 陳,2025年12月6日 下午2:28,資料集,https://www.taipower.com.tw/tc/page.aspx?mid=96,⭐⭐⭐⭐⭐,csv,資源素材
http://www.ee.ncu.edu.tw/~linfj/PDF/2019%E6%99%BA%E6%85%A7%E9%9B%BB%E7%B6%B2%E8%B3%87%E6%96%99%E6%87%89%E7%94%A8%E8%B6%A8%E5%8B%A2%E8%88%87%E6%A1%88%E4%BE%8B%E7%A0%94%E7%A9%B6.pdf,彥佑 陳,2025年12月6日 下午2:28,資料集,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjAwcSF-4f7AhVBFogKHXg0BI0QFnoECB0QAQ&url=http%3A%2F%2Fwww.ee.ncu.edu.tw%2F~linfj%2FPDF%2F2019%25E6%2599%25BA%25E6%2585%25A7%25E9%259B%25BB%25E7%25B6%25B2%25E8%25B3%2587%25E6%2596%2599%25E6%2587%2589%25E7%2594%25A8%25E8%25B6%25A8%25E5%258B%25A2%25E8%2588%2587%25E6%25A1%2588%25E4%25BE%258B%25E7%25A0%2594%25E7%25A9%25B6.pdf&usg=AOvVaw0ILsgBjWOxSKgLLdLfN3tB,⭐⭐⭐⭐,,同類參考
縣市用電資訊,彥佑 陳,2025年12月6日 下午2:28,資料集,https://www.taipower.com.tw/tc/page.aspx?mid=5554,⭐⭐⭐⭐,,資源素材
政府資料開放平台 台電歷年各機組發電統計,彥佑 陳,2025年12月6日 下午2:28,資料集,https://data.gov.tw/dataset/37331,,,資源素材
台電彰化雲端資料中心 助精準掌握綠能發電預測,彥佑 陳,2025年12月6日 下午2:28,資料集,https://www.digitimes.com.tw/iot/article.asp?id=0000624209_ZSV3X5ROLMXYP0LRXVK5S,,,新聞資料
能源資訊庫 - 案例資料庫,彥佑 陳,2025年12月6日 下午2:28,資料集,https://local.twenergy.org.tw/cases,⭐⭐,,資源素材
